rank,pair,pair_name,total,total_pct,lib_count,lib_pct,con_count,con_pct
1,T6-T7,기억·계승-역사의식,112,35.3,92,36.2,20,31.7
2,T3-T6,화해·통합-기억·계승,40,12.6,22,8.7,18,28.6
3,T5-T6,치유·회복-기억·계승,30,9.5,21,8.3,9,14.3
4,T4-T6,정의·진상규명-기억·계승,24,7.6,22,8.7,2,3.2
5,T4-T7,정의·진상규명-역사의식,21,6.6,20,7.9,1,1.6
6,T2-T3,용서-화해·통합,16,5.0,11,4.3,5,7.9
7,T3-T4,화해·통합-정의·진상규명,12,3.8,11,4.3,1,1.6
8,T3-T7,화해·통합-역사의식,10,3.2,7,2.8,3,4.8
9,T3-T5,화해·통합-치유·회복,10,3.2,9,3.5,1,1.6
10,T4-T5,정의·진상규명-치유·회복,7,2.2,7,2.8,0,0.0
11,T1-T6,사죄·반성-기억·계승,7,2.2,6,2.4,1,1.6
12,T1-T4,사죄·반성-정의·진상규명,7,2.2,7,2.8,0,0.0
13,T5-T7,치유·회복-역사의식,6,1.9,5,2.0,1,1.6
14,T1-T2,사죄·반성-용서,4,1.3,4,1.6,0,0.0
15,T1-T5,사죄·반성-치유·회복,3,0.9,3,1.2,0,0.0
16,T1-T3,사죄·반성-화해·통합,3,0.9,3,1.2,0,0.0
17,T2-T4,용서-정의·진상규명,2,0.6,2,0.8,0,0.0
18,T2-T6,용서-기억·계승,1,0.3,0,0.0,1,1.6
19,T1-T7,사죄·반성-역사의식,1,0.3,1,0.4,0,0.0
20,T2-T5,용서-치유·회복,1,0.3,1,0.4,0,0.0
