year,regime,speaker,total_theme,t4_count,t4_pct
1997,보수,총리(고건),14,0,0.0
1998,진보,총리(김종필),10,0,0.0
1999,진보,총리(김종필),8,0,0.0
2000,진보,김대중,44,0,0.0
2001,진보,총리(이한동),9,0,0.0
2002,진보,총리(이한동),6,0,0.0
2003,진보,노무현,11,1,9.1
2004,진보,노무현,33,3,9.1
2005,진보,노무현,12,0,0.0
2006,진보,노무현,22,0,0.0
2007,진보,노무현,33,8,24.2
2008,보수,이명박,9,0,0.0
2009,보수,총리(한승수),9,0,0.0
2010,보수,총리(정운찬)_대독,10,0,0.0
2011,보수,총리(김황식),5,0,0.0
2013,보수,박근혜,7,0,0.0
2014,보수,총리(정홍원),4,0,0.0
2015,보수,부총리(최경환),5,0,0.0
2016,보수,총리(황교안),6,0,0.0
2017,진보,문재인,58,9,15.5
2018,진보,총리(이낙연),57,11,19.3
2019,진보,문재인,63,11,17.5
2020,진보,문재인,63,9,14.3
2021,진보,총리(김부겸),50,14,28.0
2022,보수,윤석열,22,1,4.5
2023,보수,윤석열,17,0,0.0
2024,보수,윤석열,12,0,0.0
2025,보수,부총리(이주호),13,0,0.0
